Entry	Entry name	PubMed ID
Q9Y297	FBW1A_HUMAN	9859996; 9660940; 10531035; 20736409; 14702039; 15164054; 15489334; 10066435; 10497169; 9990852; 10835356; 10644755; 10983987; 11359933; 11238952; 11994270; 12077367; 12037680; 12791267; 14681206; 12902344; 14603323; 14988407; 15448698; 15647282; 15917222; 17079684; 16705181; 16371461; 18794143; 18354482; 20068069; 21258371; 22087322; 23468625; 25704143; 25503564; 29420262; 12820959; 17574027
Q96JP0	FEM1C_HUMAN	11733146; 14527725; 11347906; 14702039; 15489334; 17974005; 22814378; 16959974
Q9BYJ0	FGFP2_HUMAN	11342666; 12975309; 15489334
P85037	FOXK1_HUMAN	14702039; 12853948; 15489334; 15202027; 15289879; 17081983; 17670796; 18220336; 18669648; 19413330; 19690332; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 24129315; 25451922; 25805136; 25852164
P24071	FCAR_HUMAN	2258698; 7636188; 8666819; 8836118; 9367406; 17548632; 15057824; 15489334; 7522255; 14759258; 18045383; 12783876; 12768205
Q99958	FOXC2_HUMAN	9169153; 15489334; 11078474; 11371511; 17081983; 18220336; 18691976; 18669648; 19413330; 20068231; 21406692; 23186163; 23878394; 25218447; 28112733; 10669593; 11499682
Q9C0D6	FHDC1_HUMAN	15815621; 11214970; 18815276; 21406692; 26564798; 29742020; 23033978
Q12952	FOXL1_HUMAN	11078474; 15616553; 15489334; 7957066
Q14192	FHL2_HUMAN	9150430; 9573400; 11001931; 15453830; 15815621; 15489334; 8753811; 11813260; 12432079; 15692560; 16652157; 18669648; 18853468; 21269460; 22851699; 25218447; 28717008; 
O43638	FOXS1_HUMAN	11780052; 15489334; 9325056
P21802	FGFR2_HUMAN	1697263; 2172978; 1647213; 2377625; 1313574; 1400433; 1309608; 7866434; 10626794; 11856867; 14702039; 15164054; 15489334; 10712195; 10196476; 7668257; 8676562; 8673103; 7581378; 8961926; 8663044; 9585583; 12529371; 15190072; 15629145; 16597617; 16844695; 17623664; 17311277; 18374639; 19410646; 19103595; 19369195; 21596750; 15863030; 19387476; 20094046; 24275569; 10830168; 11069186; 10618369; 11390973; 12591959; 16384934; 17803937; 18056630; 19060208; 21454610; 7987400; 7874170; 7655462; 8528214; 7719333; 7719344; 7719345; 8644708; 8946174; 8956050; 8696350; 9150725; 9385368; 9002682; 9152842; 9677057; 9521581; 9452027; 9693549; 9719378; 10574673; 10394936; 10945669; 11173845; 10951518; 10633130; 11380921; 11781872; 12000365; 16061565; 16501574; 16959974; 17344846; 22387015; 26429889
Q96DR5	BPIA2_HUMAN	12975309; 11780052; 15489334; 11971875; 16740002; 24581853
P13500	CCL2_HUMAN	2923622; 2513477; 2465924; 2518726; 2357211; 1661560; 8107690; 10918580; 14702039; 15489334; 2648385; 2322286; 2071154; 8195247; 8627182; 8898111; 9792674; 9837883; 10587439; 10529171; 15033992; 23233732; 23955712; 23765988; 1857712; 8639605; 8989326; 16352737
Q9NRR3	C42S2_HUMAN	10816584; 14702039; 15489334; 15840583; 17045588; 17030554
Q9BXJ5	C1QT2_HUMAN	12975309; 15372022; 15489334; 31439668
Q9BXJ0	C1QT5_HUMAN	12975309; 16554811; 15489334; 17974005; 15340161; 22892318; 12944416
O75973	C1QRF_HUMAN	9878755; 15489334
Q8NEM8	CBPC3_HUMAN	14702039; 12853948; 15489334; 17244817; 25103237
B1AJZ1	CA196_HUMAN	16710414
Q96LT6	CA074_HUMAN	14702039; 16710414; 15489334
O60729	CC14B_HUMAN	9367992; 14702039; 15164053; 12134069; 11901424; 17488717; 18662541; 12853468
Q86YS7	C2CD5_HUMAN	9628581; 14702039; 16541075; 15489334; 17081983; 18220336; 18691976; 18669648; 19413330; 19369195; 19690332; 20068231; 21269460; 21907143; 21406692; 23186163; 24275569
Q8TDI0	CHD5_HUMAN	12592387; 16710414; 17974005; 9455484; 17289567; 21931736; 23948251; 26797129; 16959974
Q13231	CHIT1_HUMAN	7592832; 14702039; 16710414; 15489334; 7836450; 9748235; 11960986; 12639956; 15664516; 17464953; 19725875
Q5JTY5	CBWD3_HUMAN	15233989; 14702039; 15164053; 12421752
Q9UKJ5	CHIC2_HUMAN	10477709; 14702039; 15489334; 11257495
Q9UHD4	CIDEB_HUMAN	10619428; 9564035; 14702039; 15489334; 12429024
O95319	CELF2_HUMAN	9858671; 10524244; 10893231; 11414768; 14702039; 15164054; 15489334; 8948631; 11577082; 11158314; 11931771; 12649496; 14973222; 15657417; 15894795; 16862542; 21269460; 28431233
