UniprotID_1,UniprotID_2,confidence
Q09472,Q13547,0.997
P08621,P49841,0.36
O43298,Q8TAU3,0.431
Q8N2W9,Q01826,0.84
P62263,P23508,0.28
P50995,Q9H553,0.767
P35613,O15374,0.28
Q15363,P55085,0.921
O43639,Q05193,0.861
Q05193,O43639,0.861
Q9UDY2,Q96B97,0.55
P56537,P62330,0.36
Q08211,P78527,0.987
P55036,P02768,0.28
P57738,Q13485,0.494
P49407,O75688,0.55
P62136,Q8NI77,0.494
Q8NI77,P62136,0.494
P51149,P30154,0.676
Q9NVW2,P62837,0.431
O75925,Q01826,0.921
P61088,O95628,0.431
Q99748,P07949,0.431
Q9UNE7,Q9UNE7,
Q8ND76,P61981,0.676
Q15796,P16144,0.494
O96017,O96017,
Q96GM5,Q15233,0.644
O95352,Q12778,0.482
Q96BD6,Q93034,0.6
Q96B97,Q99962,0.997
Q5VTL8,P35222,0.28
P54132,P63279,0.55
P61981,O60812,0.998
Q96G75,Q9Y2X8,0.431
Q13043,Q5VYV7,0.36
Q3V6T2,P17612,0.431
O75925,P14373,0.55
P39023,Q15853,0.28
Q9Y4Y9,Q9UK45,1.0
P63165,Q00653,0.644
Q00653,P63165,0.644
Q16778,P10809,0.902
Q13415,P0CG47,0.431
Q9Y5J3,Q13571,0.494
P05109,Q13432,0.431
Q92574,P02794,0.431
Q9Y6E0,P31942,0.482
Q96QZ7,Q8N3V7,0.719
P49755,P49755,
Q14683,Q13315,0.943
Q13393,P49418,0.778
Q86YB8,P07237,0.994
Q02543,O15479,0.28
P51532,P06400,0.988
Q92560,O15294,0.772
P49419,Q9GZZ9,0.6
P31947,Q9H4L5,0.36
Q58WW2,Q9HAU4,0.28
Q96JN2,P38432,0.36
Q9NYJ8,P38646,0.36
O95870,P09651,0.431
Q07912,P51690,0.36
P78367,Q96ST3,0.676
P27824,P09848,0.431
P62140,P10415,0.844
P07948,Q13432,0.719
P15586,P00519,0.28
Q13111,P68431,1.0
P46100,Q9UER7,0.998
P62140,P24385,0.6
Q96MT8,Q8N6Y0,0.431
P37802,P23508,0.482
P78337,P84022,0.28
Q8IXM3,Q9BUV8,0.28
O75381,Q96G25,0.431
Q9UBE0,Q02790,0.36
Q02790,Q9UBE0,0.36
Q03164,O60563,0.874
Q14686,P61964,0.99
P43628,P29350,0.948
Q92793,P51812,0.957
P68104,P09466,0.431
P35555,P07996,0.28
Q15648,Q9NVC6,1.0
Q9UHF0,O95163,0.494
Q8IYF1,P38432,0.431
P13984,O94763,0.84
O94763,P13984,0.84
P11473,Q15596,0.999
O95999,Q96LW7,0.861
Q15691,Q99661,0.961
P09488,Q99683,0.744
Q99683,P09488,0.744
P09651,P11940,1.0
P15408,P17275,1.0
Q96AE4,Q16539,0.719
O94776,O60341,1.0
Q6ZNA4,O15169,0.946
P51955,P30260,0.938
Q13547,Q99697,0.431
P42224,P15260,0.987
O14641,Q9NWB1,0.431
P25788,P55036,0.997
Q13114,Q15628,0.55
P17509,P21673,0.431
P63173,Q9Y230,0.898
Q9H211,Q9H3D4,0.191
Q15014,Q92769,1.0
P20810,P00519,0.28
O14782,Q99459,0.644
Q8IY92,Q9NXF1,0.36
Q8N2W9,O14776,0.494
Q9P2H0,Q15013,0.431
Q15013,Q9P2H0,0.431
P53007,P20333,0.28
Q02978,Q13286,0.482
Q15554,Q9UQE7,0.191
Q99575,P78346,0.581
Q9UPY3,Q96J94,0.89
P07947,Q13444,0.494
Q00987,Q5RHP9,0.28
Q12933,Q9NYJ8,0.867
P43364,Q05516,0.431
Q5UIP0,Q9HCU9,0.28
P22234,P22234,
Q9NVP2,Q16576,0.985
Q6ZS82,O75916,0.744
Q92561,Q92561,
Q96A65,Q9UPT5,0.998
P58107,Q96BK5,0.28
Q9UHD2,Q13137,0.84
Q86X55,P42229,0.55
Q9P289,Q08379,0.772
Q9ULH1,Q9UKS6,0.54
Q9UHI6,P62318,0.909
Q8WXD9,P06748,0.28
P30154,Q13033,1.0
Q7L2J0,P55769,0.191
O00232,P51665,1.0
P51665,O00232,1.0
P32121,P28482,0.99
Q6PL18,O00716,0.55
Q9H1R2,P00519,0.28
P14324,Q99816,0.28
P51116,Q96CW1,0.431
Q96CW1,P51116,0.431
Q7L5D6,O43681,0.996
P38936,P30281,0.993
P11171,P22061,0.28
O14763,O00220,0.99
Q96EL3,Q9H0E7,0.36
P63167,P63167,
Q12800,P21579,0.28
P22223,P22223,
P10632,P02649,0.431
O14513,P16333,0.482
P17844,P49841,0.28
Q9BUZ4,P52732,0.28
P61968,Q86U70,0.991
Q15398,Q9Y3I1,0.28
O14908,P22888,0.89
P22888,O14908,0.89
Q8TDR0,Q13885,0.644
O00213,Q9UI08,0.858
P15391,Q92569,0.431
P25788,P49720,1.0
P49720,P25788,1.0
Q9BY78,P62837,0.591
Q14686,Q14980,0.431
