UniprotID_1,UniprotID_2
Q8WTQ7,Q8WTQ7
Q9P286,P04049
Q9P286,Q92934
Q9P286,O60716
Q9P286,P15923
Q9P286,P15976
Q9P286,Q9P286
Q9NZC9,P78527
O60229,P63000
Q8NEV4,Q8NEV4
P46020,P46020
P46020,P11216
Q05086,P0CG47
Q05086,P06401
Q05086,P54725
Q05086,P04637
Q05086,P49815
Q9H467,P06401
Q8IV63,O75531
O75716,O75716
O75716,Q9Y295
Q9BRV8,Q14164
Q86WV6,Q14164
Q86WV6,Q14653
Q86WV6,Q15831
Q86WV6,Q9UHD2
Q9BYP7,Q9UHW9
Q9BYP7,Q13621
Q9BYP7,P55011
Q9BYP7,Q96PU5
Q9BYP7,Q9H2X9
Q9BYP7,Q9H4A3
O43623,P16104
P19878,P63000
O43516,P61160
Q6IQ55,O00139
Q6IQ55,Q7L0J3
P00558,Q14457
P00558,P00558
P00558,Q15118
Q13283,P06239
Q13148,Q9UBN7
P18754,P62826
P18754,P16104
P18754,Q12778
Q14004,P24928
P03973,Q9NRQ2
P03973,O15162
Q15262,P00533
Q15262,P35222
Q15262,Q15262
Q9BX67,P57087
Q01638,P06400
Q01638,O95760
P21815,P05106
Q8NFK1,Q8NFK1
Q5T442,Q5T442
P08034,P08034
P35212,P35212
P57087,Q9BX67
P57087,Q9Y624
P16422,P16422
Q86YT9,P78310
P78310,Q86YT9
P78310,P78310
P55290,P55290
P55287,P55287
O95727,Q9BY67
Q8N126,Q9NQS3
Q8N126,Q8N126
Q8N126,Q9BY67
Q9BY67,Q9NQS3
Q9BY67,O95727
Q9BY67,Q8N126
Q9BY67,Q9BY67
P31358,Q96LC7
P15813,Q8N423
P01732,O43561
P01732,P41181
P14209,Q06124
P14209,Q9UKJ1
P06734,P20023
P31997,P13688
P40199,P31997
P40199,P13688
P06731,P15813
P06731,P01732
P06731,P13688
Q8NHJ6,Q6GTX8
O95971,Q92956
Q14574,Q14126
Q14574,Q02413
Q08554,Q14126
Q08554,Q02413
Q02487,Q02413
Q02487,Q14126
P22897,P08575
Q10589,P42226
Q10589,P16104
Q10589,P42224
Q10589,P59901
Q29980,P26718
Q29983,P26718
P35613,P12931
P35613,Q14643
P35613,Q05397
P35613,P15336
P35613,P16581
P20273,P43405
P20273,P29353
P20273,P62993
P20273,P29350
P20273,P08575
P15907,P20273
P13987,P02748
P13987,P06729
P35247,P78324
P09382,P40763
P09382,P10415
P09382,P08575
P09382,P05556
P12318,P43405
P00813,P06400
P00813,P24941
P00813,P27487
O00214,P26006
Q07075,P06307
P21754,Q12866
P07306,P29475
Q86UU9,P29371
Q86UU9,P21452
Q86UU9,P25103
Q4VX76,Q9ULB1
Q4VX76,P58400
O43278,Q9Y5Y6
Q9BQB4,O75581
Q9BQB4,O75197
O75094,Q9HCK4
Q8N6Q3,O43524
Q8N6Q3,P16284
P04278,P57057
P04278,O14493
P04278,Q8N6Q3
Q8IWL1,Q9NPY3
Q8IWL2,O60603
P05155,P16109
P05155,P16581
P05155,Q07954
P07093,Q07954
P05543,P36021
O95754,O60462
Q13214,O60462
Q13214,O14786
Q96PL1,Q9UEW3
Q96QR1,Q9UEW3
P11684,P98164
P11684,Q6UX01
Q9UQ26,O95477
P10745,P46531
Q8TD07,P26718
O95084,Q9H0R3
Q9UKY0,P08865
Q15165,P28223
O00592,P14151
Q9NZ53,P14151
P55058,O95477
P00750,P17600
P00750,P31751
P00750,Q07954
O15496,Q13018
P12273,O00401
P12273,P01730
Q13442,P09619
O95897,Q9HCK4
Q9NY56,P47890
O95157,Q9HDB5
O95157,Q9Y4C0
O95157,P58401
O95157,Q9P2S2
O95157,Q9ULB1
O95157,P58400
O95156,Q9ULB1
O95156,P58400
Q6UXI9,P05556
Q6UXI9,P53708
Q9NZ94,Q9HDB5
Q9NZ94,Q9Y4C0
Q9NZ94,P58401
Q9NZ94,Q9P2S2
Q9NZ94,Q9ULB1
Q9NZ94,P58400
Q8NFZ4,Q9HDB5
Q8NFZ4,Q9Y4C0
Q8NFZ4,P58401
Q8NFZ4,Q9P2S2
Q8NFZ4,Q9ULB1
Q8NFZ4,P58400
Q14112,Q5TAT6
P14543,P10586
P14543,P05106
P14543,P06756
P14543,Q5TAT6
P43490,P29474
P43490,P42345
P43490,P03372
P43490,P06213
Q8TAX7,P14151
P39900,Q12933
P39900,P00748
P39900,Q03405
P11226,Q9NPY3
P11226,P30988
O95711,Q99467
Q9NS15,P18084
P30533,P98155
P30533,Q99523
P30533,Q92673
P30533,Q14114
P30533,P98164
P30533,Q07954
P30533,P01130
P08519,Q92934
P08519,P17181
P08519,O14974
P08519,P05198
P08519,P04629
P08519,P00533
P08519,P17676
P08519,Q05397
P08519,P35222
P08519,P98164
P11150,P02649
P11150,Q07954
Q08380,P05556
P80188,P10636
P80188,P04150
P80188,P98164
Q13753,P16144
Q13753,P05556
Q13753,P23229
Q13753,P26006
P55268,P16144
P55268,P23229
P55268,P08865
Q16787,P23229
Q16787,P16144
Q16787,P34741
P24043,P16144
P24043,P23229
P24043,P08865
P24043,P05556
P24043,Q13683
Q9GZZ8,P18827
Q9BQ66,Q9NRQ2
Q9BQ66,P09619
Q9BQ66,Q96FE5
Q9BQ66,P26992
Q9BQ66,P57739
Q9BQ66,Q8NEC5
Q9BQ66,P29972
Q9Y5R2,Q15726
P19823,P12319
Q9UMF0,P05107
Q9UMF0,P20701
Q02094,Q14773
Q14773,Q02094
Q14773,P05106
Q14773,P05107
Q14773,P05556
Q14773,P06756
Q14773,P11215
Q14773,P20701
Q14773,P13612
Q14773,P08514
P13598,P05107
P13598,P11215
P13598,P20701
P04196,P12931
P04196,P21860
P04196,Q14247
P04196,Q14289
P04196,Q05397
P04196,P03372
P04196,P12314
Q92729,P35222
Q92729,P00533
P01242,P10912
Q7Z4P5,Q13873
Q7Z4P5,P36894
Q7Z4P5,P27037
P98095,P05106
P23142,P02751
P23142,P05556
P00740,Q07954
P08709,P13726
P00748,P07359
P00748,Q9NPY3
P07359,P04275
P03951,P07359
P00742,Q05329
P00742,P13726
P16284,P12931
P16284,P28907
P41594,Q02156
P41594,P33151
O43854,P06756
Q14213,P40189
Q14213,Q6UWB1
P60022,P51684
Q8N104,P41597
O00622,P31431
O00622,P18084
O00622,P05106
O00622,P05107
O00622,P06756
O00622,P11215
O00622,P08648
O60494,P98164
P0DML2,P16471
Q8IZJ3,P47872
Q9Y215,O15146
Q14050,P20916
Q14055,P20916
P20849,P20916
P27658,P17301
P27658,P56199
P29400,Q9NPY3
P02461,P20916
P02461,Q16832
P02461,Q08345
P16671,P43405
Q05707,P16070
P12107,Q08345
Q02246,Q92823
Q02246,Q9UHC6
